word,n
development,38
environmental,35
economic,29
income,29
social,26
women,25
households,24
data,21
food,21
rural,21
inequality,19
study,18
based,17
essay,17
find,17
level,17
three,17
countries,16
labor,16
using,16
analysis,15
employment,15
examines,15
local,15
pollution,15
poverty,15
community,14
land,14
farmers,13
household,13
state,13
first,12
health,12
migration,12
model,12
programs,12
role,12
among,11
findings,11
research,11
results,11
small,11
two,11
access,10
changes,10
coffee,10
distribution,10
evidence,10
informal,10
long,10
low,10
market,10
outcomes,10
policy,10
sector,10
self,10
studies,10
survey,10
trade,10
wage,10
agriculture,9
air,9
constraints,9
consumption,9
developing,9
empirical,9
factors,9
farms,9
financial,9
framework,9
global,9
literature,9
livelihoods,9
organic,9
power,9
production,9
second,9
well,9
work,9
across,8
analyzes,8
benefits,8
conducted,8
consequences,8
disparities,8
economy,8
exposure,8
focus,8
important,8
investment,8
kenya,8
less,8
new,8
relationship,8
support,8
case,7
costs,7
demand,7
differences,7
economic development,7
farming,7
female,7
gender,7
government,7
impact,7
impacts,7
inequalities,7
milk,7
opportunities,7
products,7
public,7
regions,7
significant,7
sustainable,7
sustainable development,7
tanzania,7
third,7
urban,7
use,7
used,7
working,7
agricultural,6
air pollution,6
analyze,6
black,6
cclc,6
chinese,6
common,6
conditions,6
conflict,6
cultural,6
developing countries,6
different,6
effects,6
essays,6
field,6
finance,6
firms,6
gendered,6
headed,6
headed households,6
high,6
hispanic,6
incomes,6
insecurity,6
institutions,6
male,6
national,6
non,6
participation,6
policies,6
post,6
processes,6
provides,6
provisioning,6
rates,6
resources,6
revenue,6
security,6
self provisioning,6
show,6
smallholders,6
socio,6
thus,6
violence,6
wealth,6
whether,6
workers,6
approach,5
aspects,5
chain,5
challenges,5
china,5
cities,5
commodity,5
communities,5
community based,5
cooperatives,5
country,5
demographic,5
despite,5
due,5
environmental justice,5
essay examines,5
expected,5
experience,5
explore,5
farm,5
female headed,5
first essay,5
food insecurity,5
food security,5
forest,5
fracking,5
implementation,5
interviews,5
investigates,5
investors,5
justice,5
lower,5
might,5
mothers,5
much,5
often,5
oil,5
order,5
organic farming,5
ost,5
ost programs,5
part,5
particular,5
political,5
pollution exposure,5
qualitative,5
quantitative,5
relationships,5
result,5
run,5
rwanda,5
smes,5
socio economic,5
south,5
statistical,5
strategies,5
surveys,5
system,5
texas,5
third essay,5
time,5
us,5
vulnerable,5
white,5
within,5
african,4
agrarian,4
banaras,4
birth,4
business,4
capital,4
challenge,4
change,4
children,4
chinese rural,4
co,4
common pool,4
compared,4
conclude,4
consists,4
contributes,4
contribution,4
conventional,4
cooperative,4
degradation,4
depth,4
determining,4
district,4
econometric,4
efforts,4
environmental degradation,4
examining,4
explain,4
fair,4
fair trade,4
finds,4
food self,4
foreign,4
forest products,4
found,4
fragmentation,4
global environmental,4
governance,4
greater,4
higher,4
however,4
human,4
hypothesis,4
increase,4
increased,4
industry,4
informal economy,4
insights,4
institutional,4
intensity,4
lens,4
likely,4
location,4
long term,4
made,4
major,4
making,4
may,4
methods,4
norms,4
one,4
outsourcing,4
overall,4
overcome,4
partnerships,4
performance,4
pool,4
post conflict,4
poverty reduction,4
problems,4
program,4
provide,4
public investment,4
reduction,4
reforms,4
regional,4
rights,4
risk,4
rsei,4
rural poverty,4
scale,4
size,4
south sudan,4
spending,4
states,4
structures,4
sudan,4
term,4
three essays,4
traders,4
turkey,4
uses,4
value,4
years,4
yield,4
action,3
activity,3
adverse,3
affect,3
aftermath,3
assess,3
beneficiaries,3
benefit,3
better,3
capitalist,3
case study,3
cclc programs,3
certification,3
characteristics,3
coffee farmers,3
collective,3
concentration,3
correlates,3
counterparts,3
cross,3
decisions,3
decollectivization,3
depend,3
depth interviews,3
development outcomes,3
documents,3
dominican,3
emissions,3
emphasis,3
empirical evidence,3
employed,3
energy,3
environment,3
environmental indicators,3
europe,3
examined,3
expanding,3
explores,3
face,3
farm size,3
fieldwork,3
financial inclusion,3
financial sector,3
finding,3
fish,3
five,3
focused,3
focuses,3
focusing,3
four,3
general,3
geographic,3
global coffee,3
gm,3
goods,3
groups,3
health insurance,3
health outcomes,3
home,3
hours,3
implications,3
inclusion,3
income inequality,3
indicators,3
industrial,3
industries,3
infant,3
infant health,3
informal employment,3
insurance,3
integration,3
intra,3
investigate,3
key,3
lack,3
land inequality,3
large,3
larger,3
level data,3
lives,3
long run,3
macroeconomic,3
maoist,3
markets,3
material,3
men,3
mixed,3
move,3
needed,3
neighborhood,3
neighborhoods,3
non market,3
nrega,3
organic farms,3
paradox,3
participating,3
patterns,3
perspective,3
plan,3
pollutants,3
pool resources,3
positive,3
practices,3
premise,3
prevalence,3
price,3
process,3
promote,3
proximity,3
quality,3
question,3
questions,3
racial,3
recent,3
region,3
regional variations,3
regression,3
regulatory,3
regulatory framework,3
related,3
relative,3
relatively,3
remittance,3
resource,3
risk screening,3
rsei gm,3
rural china,3
rural households,3
screening,3
screening environmental,3
second essay,3
sexual,3
sexual violence,3
shaped,3
since,3
small scale,3
smallholder,3
social costs,3
social economic,3
society,3
subsistence,3
successful,3
suggest,3
supply,3
supported,3
tax,3
techniques,3
ten,3
tend,3
test,3
theoretical,3
theory,3
tourism,3
toward,3
traditional,3
types,3
uganda,3
understanding,3
unequal,3
urbanization,3
us cities,3
value chain,3
variables,3
variations,3
wage employment,3
water,3
white mothers,3
world,3
worse,3
activities,2
addition,2
addresses,2
administration,2
adverse impacts,2
affect employment,2
affects,2
africa,2
african countries,2
age,2
agency,2
agrarian structures,2
agribusiness,2
agribusiness firms,2
aimed,2
air pollutants,2
alleviation,2
allow,2
along,2
american,2
american community,2
analyzing,2
approaches,2
area,2
areas,2
argue,2
ask,2
ask whether,2
aspect,2
assesses,2
assets,2
attempt,2
attention,2
background,2
bargaining,2
barriers,2
based health,2
behavior,2
blockgroup,2
blockgroup level,2
body,2
broader,2
cap,2
capacities,2
care,2
case studies,2
caste,2
census,2
certification system,2
certifications,2
child,2
choice,2
climate,2
climate change,2
collected,2
collective action,2
commercial,2
commodities,2
community level,2
community supported,2
community survey,2
complex,2
complex social,2
conflict development,2
considered,2
construction,2
consumers,2
continue,2
control,2
cooperative union,2
cope,2
cost,2
critical,2
crops,2
cross country,2
cultivate,2
cultural factors,2
dairy,2
database,2
decision,2
decision making,2
deforestation,2
demand constraints,2
dependence,2
determines,2
direct,2
discovers,2
disproportionately,2
dominated,2
draw,2
drawing,2
dynamic,2
earn,2
economic environmental,2
economists,2
ecuador,2
education,2
efficacy,2
eight,2
emerge,2
emphasizes,2
empirical analysis,2
empirically,2
employing,2
employs,2
empowerment,2
engage,2
ensure,2
environmental consequences,2
environmental disparities,2
environmental improvements,2
especially,2
estimation,2
ethnic,2
ethnicity,2
evaluate,2
evaluates,2
evaluation,2
evolution,2
examination,2
examine,2
exchanges,2
existing,2
explicit,2
failure,2
family,2
far,2
farmers cooperative,2
farmers perspective,2
farming communities,2
fdi,2
fertilizer,2
field research,2
final,2
finally,2
find evidence,2
findings suggest,2
flo,2
flo certification,2
force,2
force participation,2
forests,2
former,2
foster,2
fourth,2
fracking activity,2
fracking wells,2
fuel,2
functioning,2
funded,2
funding,2
future,2
game,2
game theoretic,2
gap,2
gender penalty,2
gendered lens,2
generation,2
genocide,2
geocoded,2
ghg,2
global food,2
gm might,2
government revenue,2
growers,2
growing,2
growth,2
heads,2
helps,2
hidden,2
highly,2
highly depend,2
hispanic women,2
home produce,2
hourly,2
household level,2
human capital,2
human development,2
hydropower,2
hydropower project,2
identifies,2
identify,2
implement,2
implying,2
important insights,2
improve,2
improvements,2
including,2
inclusive,2
increases,2
india,2
indicate,2
industrial air,2
inequality thus,2
influence,2
information,2
infrastructure,2
initial,2
input,2
input output,2
inputs,2
institutional constraints,2
insurance scheme,2
inter,2
interacting,2
intra household,2
introduction,2
inverse,2
inverse relationship,2
investment spending,2
invisible,2
isolation,2
just,2
kin,2
knife,2
knowledge,2
kuznets,2
labor demand,2
labor force,2
labor market,2
labor supply,2
land rights,2
landownership,2
led,2
legal,2
light,2
limited,2
little,2
livelihood,2
local agriculture,2
local environmental,2
local exposure,2
local level,2
location database,2
looking,2
looks,2
low income,2
lower sesan,2
majority,2
make,2
male counterparts,2
management,2
manufacturing,2
manufacturing industries,2
many,2
martinez,2
may provide,2
measured,2
measurements,2
mechanisms,2
merged,2
micro,2
milk prices,2
milk processing,2
models,2
moreover,2
movement,2
multiple,2
na,2
national income,2
nature,2
near,2
need,2
neighborhood inequality,2
nepal,2
nepalese,2
non hispanic,2
occupation,2
opportunity,2
organizations,2
organizing,2
oromia,2
oromia coffee,2
outcome,2
outlining,2
output,2
outside,2
outsourcing hypothesis,2
panel,2
parents,2
particular aspect,2
particularly,2
past,2
penalty,2
people,2
perform,2
pesticide,2
plans,2
plants,2
point,2
political economy,2
pollution outsourcing,2
poor,2
poorer,2
potential,2
poverty alleviation,2
power inequalities,2
pradesh,2
pre,2
predictors,2
prefer,2
presence,2
presented,2
pressure,2
previous,2
prices,2
primary,2
principles,2
proceeds,2
processed,2
processed milk,2
processing,2
produce,2
producers,2
project,2
promote sustainable,2
property,2
protections,2
providing,2
provision,2
public goods,2
race,2
racial disparities,2
raise,2
reasons,2
reduce,2
reform,2
regarding,2
remain,2
remains,2
renewable,2
report,2
republic,2
requires,2
respect,2
respond,2
results indicate,2
results show,2
rise,2
rising,2
roses,2
rural development,2
rural livelihoods,2
salient,2
sample,2
sample survey,2
scale production,2
scheme,2
sector development,2
sectors,2
seen,2
self employed,2
september,2
serious,2
serve,2
sesan,2
shares,2
short,2
short run,2
shows,2
side,2
significantly,2
similar,2
six,2
ski,2
ski tourism,2
small business,2
smart,2
smart location,2
social norms,2
social processes,2
spare,2
spare time,2
specifically,2
statistical analysis,2
status,2
still,2
street,2
strong,2
structural,2
struggles,2
studying,2
supported agriculture,2
survey conducted,2
survey data,2
svaneti,2
systems,2
taking,2
tanzania kenya,2
tax performance,2
terms,2
textile,2
textile industry,2
theoretic,2
theoretic model,2
theoretical framework,2
though,2
threatened,2
threats,2
three countries,2
three empirical,2
three plans,2
times,2
tourism zone,2
toxic,2
toxic air,2
trade reforms,2
trading,2
trajectory,2
transformation,2
turkish,2
two measurements,2
undernutrition,2
uneven,2
union,2
united,2
united states,2
upper,2
upper svaneti,2
urban sector,2
using data,2
using geographic,2
uttar,2
uttar pradesh,2
validity,2
various,2
viewed,2
villagers,2
vulnerability,2
ways,2
weathering,2
welfare,2
wells,2
whhs,2
white women,2
whose,2
widow,2
without,2
women working,2
year,2
youth,2
zero,2
zone,2
